time,lat,lon,min_slp_hpa,max_wind_near_center_ms
2026-07-10_18:00:00,26.413818359375,122.21138763427734,992.702578125,17.463916200445215
2026-07-10_19:00:00,25.4150390625,123.32182312011719,981.385390625,24.234054355129814
2026-07-10_20:00:00,24.545753479003906,124.53321838378906,958.66609375,29.945901117295655
2026-07-10_21:00:00,24.453895568847656,124.8360595703125,956.0266586339786,38.24458950252584
2026-07-10_22:00:00,24.637550354003906,124.8360595703125,955.665078125,37.9181630756707
2026-07-10_23:00:00,24.820938110351562,124.78559112548828,956.44796875,40.53858650068997
2026-07-11_00:00:00,25.095497131347656,124.68463897705078,956.815546875,40.28243353261742
2026-07-11_01:00:00,25.506195068359375,124.53321838378906,957.036640625,41.077291768878844
2026-07-11_02:00:00,25.870079040527344,124.2303695678711,957.334453125,41.667797948606996
2026-07-11_03:00:00,26.14226531982422,123.7761001586914,956.63625,40.16117029341167
2026-07-11_04:00:00,26.23284912109375,123.5741958618164,956.913515625,38.8740489869042
2026-07-11_05:00:00,26.459007263183594,123.17040252685547,957.46453125,39.30391855675481
2026-07-11_06:00:00,26.59449005126953,122.968505859375,957.533671875,36.83882114757465
2026-07-11_07:00:00,26.639610290527344,122.71613311767578,957.762890625,35.282792079424226
2026-07-11_08:00:00,26.639610290527344,122.66565704345703,957.8878125,34.25291824114722
2026-07-11_09:00:00,26.954986572265625,122.51423645019531,958.35828125,34.08341586472613
2026-07-11_10:00:00,27.089881896972656,122.36280822753906,958.751953125,32.24894099774464
2026-07-11_11:00:00,27.179718017578125,122.21138763427734,959.456796875,31.680237789190016
2026-07-11_12:00:00,27.35918426513672,121.8075942993164,961.01609375,33.17683838500814
2026-07-11_13:00:00,27.35918426513672,121.75711822509766,962.07390625,32.220533214700154
2026-07-11_14:00:00,27.76190948486328,121.55522155761719,963.010390625,30.532854157775926
2026-07-11_15:00:00,27.76190948486328,121.15142059326172,963.0253719404152,30.577032005318703
2026-07-11_16:00:00,28.252098083496094,121.20189666748047,963.6829017567155,30.578551071295806
2026-07-11_17:00:00,28.16313934326172,121.10094451904297,964.2856231756256,31.85227672557191
2026-07-11_18:00:00,28.296546936035156,121.05047607421875,964.8040605463236,29.694702906987207
2026-07-11_19:00:00,28.74004364013672,120.79810333251953,964.7514105698765,32.22500922678285
2026-07-11_20:00:00,29.0052490234375,120.39430236816406,964.4643228353053,30.985808447261604
2026-07-11_21:00:00,29.093505859375,120.24288177490234,965.7131303783389,27.711755662619
2026-07-11_22:00:00,29.181686401367188,119.99050903320312,966.8319248363537,30.732640129612538
2026-07-11_23:00:00,29.225738525390625,119.83908081054688,967.8199076279351,25.761937182274576
